Rank,Player,Win Pct,Pts Pct
1,Romeo,0.75,0.636
2,Harris,0.75,0.618
3,Mary,0.75,0.591
4,Shine,0.75,0.529
5,Latt,0.714,0.609
6,Obst,0.714,0.578
7,Kong,0.714,0.545
8,Cooper,0.625,0.61
9,Virgilio,0.625,0.548
10,Pound,0.625,0.544
11,Spike,0.625,0.535
12,Rooze,0.571,0.542
13,Schmanske,0.571,0.505
14,Chisolm,0.5,0.525
15,Abs,0.5,0.515
16,Chesty,0.5,0.513
17,Mentle,0.5,0.488
18,Wee,0.5,0.473
19,Nate,0.5,0.461
20,Struble,0.5,0.46
21,Kramer,0.5,0.442
22,Bocci,0.429,0.46
23,O’Leary,0.375,0.477
24,Chess,0.375,0.477
25,Lineman,0.375,0.467
26,Cureton,0.375,0.455
27,Crash,0.375,0.442
28,Della Grotte,0.286,0.427
29,House,0.286,0.378
30,Ponzio,0.25,0.462
31,DiPesa,0.25,0.42
32,Watkins,0.25,0.376
33,Tex,0.125,0.4
