Num,Player
1,Rooze
2,Kong
3,Della Grotte
4,Kramer
5,Bocci
6,Romeo
7,Cooper
8,Latt
9,Crash
10,Abs
11,Lineman
12,Obst
13,Struble
14,Shine
15,DiPesa
16,Mentle
17,Tex
18,House
19,Nate
20,Spike
21,Schmanske
22,Harris
23,Chess
24,Chesty
25,Ponzio
26,Watkins
27,Pound
28,Virgilio
29,Chisolm
30,Wee
31,Mary
32,Cureton
33,O’Leary
