Rank,Player,Win Pct,Pts Pct
1,Tex,1,0.721
2,Wee,0.875,0.661
3,Chesty,0.875,0.632
4,Struble,0.875,0.627
5,Cureton,0.875,0.585
6,Chess,0.75,0.561
7,Mott,0.714,0.589
8,Kong,0.625,0.48
9,Chachkes,0.571,0.5
10,O’Leary,0.5,0.545
11,Lineman,0.5,0.537
12,Shutts,0.5,0.522
13,Harris,0.5,0.5085
14,Cooper,0.5,0.5081
15,Mentle,0.5,0.504
16,Aviv,0.5,0.484
17,Aguirre,0.5,0.475
18,Abs,0.5,0.466
19,Ponzio,0.5,0.462
20,Spike,0.429,0.5
21,DiPesa,0.429,0.491
22,Rooze,0.375,0.481
23,Rechtin,0.375,0.463
24,Kramer,0.375,0.459
25,Mary,0.375,0.444
26,Pound,0.375,0.444
27,Fields,0.375,0.429
28,Silberberg,0.286,0.42
29,Frankel,0.25,0.442
30,House,0.143,0.354
31,Leibly,0.143,0.333
32,Crash,0.125,0.377
33,Bocci,0.125,0.367
