Num,Player,Wins,Losses,Win Pct,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF Total,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PA8,PA Total,Pts Pct
1,O’Leary,5,3,0.625,10,10,5,5,10,5,10,10,65,8,3,10,10,6,10,2,5,54,0.546218487394958
2,Kong,6,2,0.75,10,10,10,10,7,10,10,4,71,7,3,7,5,10,0,7,10,49,0.591666666666667
3,Struble,5,3,0.625,10,10,9,5,10,10,6,10,70,8,7,10,10,7,9,10,6,67,0.510948905109489
4,Kramer,1,7,0.125,6,3,9,10,6,3,4,9,50,10,10,10,5,10,10,10,10,75,0.4
5,Crash,2,6,0.25,8,1,10,5,10,5,4,5,48,10,10,3,10,7,10,10,10,70,0.406779661016949
6,Leibly,4,4,0.5,4,10,5,10,10,6,10,5,60,10,7,10,5,6,10,4,10,62,0.491803278688525
7,Virgilio,3,5,0.375,9,3,10,9,7,10,8,10,66,10,10,3,10,10,9,10,7,69,0.488888888888889
8,West,1,6,0.142857142857143,-,1,5,5,7,10,9,5,42,- ,10,10,10,10,6,10,10,66,0.388888888888889
9,Aviv,5,3,0.625,4,10,10,10,10,5,5,10,64,10,1,9,8,2,10,10,7,57,0.528925619834711
10,Watkins,4,4,0.5,4,10,10,5,10,3,8,10,60,10,1,7,10,7,10,10,1,56,0.517241379310345
11,Della Grotte,2,6,0.25,8,3,4,2,10,10,2,7,46,10,10,10,10,7,3,10,10,70,0.396551724137931
12,DeWitt,3,5,0.375,4,3,5,9,10,10,4,10,55,10,10,10,10,5,0,10,5,60,0.478260869565217
13,Bocci,4,4,0.5,10,8,7,10,10,10,6,9,70,8,10,10,8,7,7,10,10,70,0.5
14,Mentle,5,2,0.714285714285714,10,-,10,10,7,10,10,4,61,8,-,5,8,10,3,2,10,46,0.570093457943925
15,Heitner,4,3,0.571428571428571,9,10,10,10,10,-,4,4,57,10,9,5,8,9,-,10,10,61,0.483050847457627
16,Lineman,5,3,0.625,10,5,6,10,10,10,10,5,66,4,10,10,5,9,7,7,10,62,0.515625
17,Harris,5,3,0.625,10,7,6,8,10,10,10,10,71,8,10,10,10,2,4,7,8,59,0.546153846153846
18,Cureton,4,4,0.5,10,10,7,10,6,10,9,4,66,8,6,10,9,10,5,10,10,68,0.492537313432836
19,Chess,4,4,0.5,10,10,4,10,6,3,5,10,58,7,9,10,9,10,10,10,6,71,0.449612403100775
20,Cooper,3,4,0.428571428571429,-,3,10,5,10,6,10,5,49,- ,10,6,10,6,10,6,10,58,0.457943925233645
21,Rechtin,5,3,0.625,6,10,10,8,7,10,10,10,71,10,6,4,10,10,6,4,8,58,0.550387596899225
22,Fields,2,5,0.285714285714286,7,5,6,-,7,5,10,10,50,10,10,10,-,10,10,9,9,68,0.423728813559322
23,Shutts,4,3,0.571428571428571,7,3,-,10,10,7,10,10,57,10,10,-,5,7,10,7,1,50,0.532710280373832
24,Obst,3,4,0.428571428571429,10,10,7,7,2,10,-,6,52,6,3,10,10,10,5,-,10,54,0.490566037735849
25,House,1,6,0.142857142857143,8,4,6,10,7,-,7,7,49,10,10,10,5,10,-,10,10,65,0.429824561403509
26,Scruggs,7,1,0.875,10,6,10,10,10,10,10,10,76,2,10,5,5,5,4,8,9,48,0.612903225806452
27,Ponzio,2,5,0.285714285714286,8,9,10,-,7,9,7,10,60,10,10,0,-,10,10,10,5,55,0.521739130434783
28,Frankel,4,4,0.5,8,10,7,5,10,10,2,10,62,10,5,10,10,7,6,10,4,62,0.5
29,Springo,1,6,0.142857142857143,8,9,3,7,-,10,2,8,47,10,10,10,10,-,6,10,10,66,0.415929203539823
30,Latt,4,4,0.5,10,6,10,5,6,7,10,10,64,4,10,0,10,10,10,2,4,50,0.56140350877193
31,DiPesa,2,6,0.25,10,4,10,2,5,6,7,6,50,9,10,7,10,10,10,10,10,76,0.396825396825397
32,Romeo,7,1,0.875,10,10,10,10,10,3,10,10,73,2,3,6,2,7,10,4,4,38,0.657657657657658
33,Chesty,5,3,0.625,10,8,10,10,10,4,2,10,64,4,10,4,5,7,10,10,5,55,0.53781512605042
34,Abs,5,3,0.625,10,10,10,8,5,10,10,1,64,4,8,6,10,10,3,2,10,53,0.547008547008547
35,Spike,6,2,0.75,6,10,10,10,10,4,10,10,70,10,5,7,7,7,10,4,5,55,0.56
36,Hauer,4,3,0.571428571428571,6,10,0,10,-,10,7,10,53,10,8,10,2,-,5,10,4,49,0.519607843137255
37,Rooze,3,4,0.428571428571429,2,10,-,10,7,9,10,5,53,10,4,-,7,10,10,5,10,56,0.486238532110092
38,Chisholm,3,4,0.428571428571429,2,-,10,5,2,6,10,10,45,10,-,6,10,10,10,6,5,57,0.441176470588235
39,Wee,4,3,0.571428571428571,10,7,3,10,10,0,10,-,50,6,10,10,5,6,10,5,-,52,0.490196078431373
40,Pound,3,5,0.375,10,10,0,8,7,0,10,1,46,9,3,10,10,10,10,9,10,71,0.393162393162393
41,Silberberg,4,3,0.571428571428571,10,10,10,5,9,10,-,8,62,6,4,9,10,10,3,-,10,52,0.543859649122807
42,Tex,6,1,0.857142857142857,10,10,10,10,9,10,10,-,69,6,3,5,5,10,5,8,-,42,0.621621621621622
,,,,,,,,,,,,,,,,,,,,,,,
Anomalies (highlighted above),,,,,,,,,,,,,,,,,,,,,,,
"Round 7 - table 4 (players 2, 16, 27, 31)",,,,,,,,,,,,,,,,,,,,,,,
"Round 7 – table 10 (players 12, 15, 21, 35)",,,,,,,,,,,,,,,,,,,,,,,
