Num,Player
1,Spike
2,House
3,Abs
4,Mentle
5,Silberberg
6,Shutts
7,Harris
8,Leibly
9,Pound
10,Kong
11,Chesty
12,DiPesa
13,Tex
14,Chess
15,Mary
16,Kramer
17,Cureton
18,Chachkes
19,Aviv
20,O’Leary
21,Mott
22,Rechtin
23,Fields
24,Frankel
25,Ponzio
26,Cooper
27,Lineman
28,Wee
29,Crash
30,Rooze
31,Bocci
32,Struble
33,Aguirre
